가람마살라, '8'
소고기우둔, '1'
소고기육수, '8'
소고기차돌박이, '1'
소고기채끝살, '1'
소고기홍두깨살, '1'
소금, '8'
소라, '15'
소면, '10'
소시지, '1'
소주, '14'
수란, '2'
수박, '12'
수삼, '11'
수수, '3'
숙주, '11'
순두부, '17'
순무, '11'
스리라차, '8'
스위트칠리, '8'
스테비아, '8'
스테이크시즈닝, '8'
스트링치즈, '5'
스프, '18'
시금치, '11'
시금치우유소스, '8'
시래기, '11'
식빵, '6'
식용꽃, '18'
식용유, '9'
식초, '8'
식혜, '8'
신선초, '11'
실파, '11'
쌀, '3'
쌀가루, '8'
쌀겨, '8'
쌀국수면, '10'
쌀튀밥, '3'
쌈무, '11'
쌈장, '8'
쑥, '11'
쑥가루, '8'
쑥갓, '11'
아가베시럽, '8'
아귀, '15'
아몬드, '4'
아몬드가루, '8'
아몬드우유, '5'
아몬드플레이크, '4'
아보가도, '12'
아보카도, '12'
아스파라거스, '11'
아욱, '11'
아이스크림, '5'
애플민트, '11'
애호박, '11'
액젓, '8'
앤다이브, '11'
앤쵸비, '15'
양고기부채살, '1'
양배추, '11'
양상추, '11'
양송이버섯, '11'
양장피면, '10'
양조식초, '8'
양파, '11'
양파가루, '8'
양파즙, '8'
어간장, '8'
어묵, '15'
에멘탈치즈, '5'
연근, '11'
연두부, '17'
연어, '15'
연유, '5'
열무김치, '13'
엿기름, '9'
영콘, '11'
오가피, '11'
오곡, '3'
오레가노, '11'
오레가노가루, '8'
오렌지, '12'
오렌지소스, '8'
오렌지주스, '8'
오리고기, '1'
오리고기가슴살, '1'
오리엔탈소스, '8'
오미자, '12'
오미자드레싱, '8'
오미자엑기스, '8'
오미자청, '8'
오이, '11'
오일드레싱, '8'
오징어, '15'
오징어채, '16'
오트밀, '3'
옥수수, '3'
옥수수전분, '6'
올리고당, '8'
올리브, '11'
올리브오일, '9'
올방개묵, '17'
와사비, '8'
와인, '14'
완두콩, '3'
완두콩드레싱, '8'
요거트, '5'
요리당, '8'
우동면, '10'
우렁, '15'
우렁이, '15'
우스터소스, '8'
우엉, '11'
우유, '5'
울금가루, '6'
워터크레스, '11'
월계수잎, '8'
유부, '17'
유자드레싱, '8'
유자청, '8'
율무, '3'
은행, '4'
이스트, '6'
이탈리아시즈닝, '8'
이탈리안시즈닝, '8'
인삼, '11'
잎녹차, '8'
자두, '12'
자몽, '12'
자몽주스, '8'
잡곡, '3'
잣, '4'
장어, '15'
전립분, '6'
전복, '15'
전분, '6'
절임물, '8'
절편, '3'
젓갈, '8'
정종, '14'
정향, '8'
제빵개량제, '6'
젤라틴, '18'
조, '3'
조개, '15'
조개관자, '15'
조기, '15'
조청, '8'
주꾸미, '15'
주키니호박, '12'
죽순, '11'
중력분, '6'
증편, '3'
진달래꽃, '18'
진미채, '18'
쪽파, '11'
차이브, '8'
참기름, '9'
참깨, '3'
참나물, '11'
참다래, '12'
참외, '12'
참치, '15'
찹쌀가루, '6'
천도복숭아, '12'
청경채, '11'
청고추, '11'
청국장, '8'
청주, '14'
체다치즈, '5'
체다치즘, '5'
체리, '12'
춘권피, '3'
취나물, '11'
치아바타, '6'
치자, '8'
치즈, '5'
치즈가루, '6'
치커리, '11'
칠리소스, '8'
카놀라유, '9'
카레가루, '8'
카스텔라, '6'
카옌페퍼, '8'
칵테일새우, '15'
칼국수면, '10'
캐슈넛, '4'
캔옥수수, '3'
커민, '8'
커피, '8'
컬리플라워, '11'
케이퍼, '8'
케일, '11'
케첩, '8'
코다리, '16'
코리앤더가루, '6'
코리앤더씨드, '8'
코코넛밀크, '8'
코코넛오일, '9'
코코넛워터, '8'
콜라비, '11'
콜리플라워, '11'
콩, '3'
콩가루, '6'
콩고기, '1'
콩국물, '8'
콩기름, '9'
콩나물, '11'
콩비지, '17'
퀴노아, '3'
크래커, '6'
크랜베리, '12'
크루통, '6'
크림, '5'
크림치즈, '5'
키위, '12'
타르타르소스, '8'
타바스코, '8'
타임, '8'
타피오카전분, '6'
탄산수, '18'
탈리아텔레, '10'
탈지분유, '6'
토란, '11'
토마토, '11'
토마토소스, '8'
토마토케첩, '8'
토마토페이스트, '8'
톳, '15'
통깨, '3'
통밀가루, '6'
튀김가루, '6'
튀김기름, '9'
파, '11'
파래, '15'
파래김, '15'
파마산치즈, '5'
파스타면, '10'
파슬리, '11'
파인소프트C, '6'
파인소프트T, '6'
파인애플, '12'
파인애플소스, '8'
파인애플주스, '8'
파채, '11'
파프리카, '11'
파프리카가루, '8'
판곤약, '17'
판젤라틴, '18'
팔각, '8'
팥, '3'
패주, '15'
팽이버섯, '11'
페이스트, '8'
페퍼, '8'
페페론치노, '8'
펜네, '10'
포도, '12'
포도식초, '8'
포도씨유, '9'
포도주스, '8'
포카치아빵, '6'
표고버섯, '11'
표고버섯가루, '8'
푸실리, '10'
풋고추, '11'
풋마늘, '11'
피망, '11'
피스타치오, '4'
피시소스, '8'
피클, '11'
핑크페퍼, '8'
한천, '10'
함초, '11'
해바라기씨, '4'
해조국수, '18'
해초, '15'
햄, '1'
허브크러스트, '8'
허브타르타르드레싱, '8'
헤이즐넛, '4'
현미, '3'
현미유, '9'
현미튀밥, '3'
호두, '4'
호밀가루, '8'
호박, '11'
호박씨, '4'
호박잎, '11'
홀스레디쉬, '8'
홍시, '12'
홍초, '8'
홍합, '15'
화이트와인, '14'
화이트초콜릿, '18'
화이트크림, '5'
황금팽이버섯, '11'
황도, '12'
황설탕, '8'
황태, '16'
황태채, '16'
황태포, '16'
후추, '8'
훈제닭가슴살, '1'
훈제연어, '15'
훈제오리, '1'
훈제오리가슴살, '1'
휘핑크림, '5'
흑마늘진액, '8'
흑미, '3'
흑설탕, '8'
흑임자, '3'
흑임자묵, '17'
흰깨, '3'
흰목이버섯, '11'
흰살생선, '15'
흰앙금, '18'
흰후추, '8'
